DuckID,Day,Time,Sample,Titer
1,0,1,cs,
1,0,1,fecal,
1,0,2,cs,0
1,0,2,fecal,0
1,1,1,cs,2.7
1,1,1,fecal,4.1
1,1,2,cs,
1,1,2,fecal,8
1,2,1,cs,5.5
1,2,1,fecal,8.4
1,2,2,cs,
1,2,2,fecal,7.1
1,3,1,cs,5.5
1,3,1,fecal,6.4
1,3,2,cs,
1,3,2,fecal,7.1
1,4,1,cs,4.3
1,4,1,fecal,6.2
1,4,2,cs,
1,4,2,fecal,5.5
1,5,1,cs,2.2
1,5,1,fecal,3.5
1,5,2,cs,
1,5,2,fecal,3.7
1,6,1,cs,0
1,6,1,fecal,0
1,6,2,cs,
1,6,2,fecal,0
1,7,1,cs,0
1,7,1,fecal,0
1,7,2,cs,
1,7,2,fecal,1
1,8,1,cs,0
1,8,1,fecal,2.3
1,8,2,cs,
1,8,2,fecal,0
1,9,1,cs,0
1,9,1,fecal,1
1,9,2,cs,
1,9,2,fecal,0
1,10,1,cs,0
1,10,1,fecal,0
1,10,2,cs,
1,10,2,fecal,
1,12,1,cs,0
1,12,1,fecal,0
1,12,2,cs,
1,12,2,fecal,0
1,14,1,cs,0
1,14,1,fecal,0
1,14,2,cs,
1,14,2,fecal,
4,0,1,cs,
4,0,1,fecal,
4,0,2,cs,0
4,0,2,fecal,0
4,1,1,cs,1.6
4,1,1,fecal,
4,1,2,cs,
4,1,2,fecal,5.6
4,2,1,cs,5.4
4,2,1,fecal,7.4
4,2,2,cs,
4,2,2,fecal,6.5
4,3,1,cs,4.8
4,3,1,fecal,7.2
4,3,2,cs,
4,3,2,fecal,6.2
4,4,1,cs,5.8
4,4,1,fecal,
4,4,2,cs,
4,4,2,fecal,6.4
4,5,1,cs,4.6
4,5,1,fecal,5.5
4,5,2,cs,
4,5,2,fecal,4.2
4,6,1,cs,3.5
4,6,1,fecal,4.9
4,6,2,cs,
4,6,2,fecal,
4,7,1,cs,4.2
4,7,1,fecal,5.1
4,7,2,cs,
4,7,2,fecal,5.3
4,8,1,cs,4.2
4,8,1,fecal,4.8
4,8,2,cs,
4,8,2,fecal,4.2
4,9,1,cs,4.2
4,9,1,fecal,4.9
4,9,2,cs,
4,9,2,fecal,5.1
4,10,1,cs,1.8
4,10,1,fecal,4.8
4,10,2,cs,
4,10,2,fecal,
4,12,1,cs,0
4,12,1,fecal,0
4,12,2,cs,
4,12,2,fecal,0
4,14,1,cs,0
4,14,1,fecal,0
4,14,2,cs,
4,14,2,fecal,
5,0,1,cs,
5,0,1,fecal,
5,0,2,cs,0
5,0,2,fecal,0
5,1,1,cs,0
5,1,1,fecal,0
5,1,2,cs,
5,1,2,fecal,4.1
5,2,1,cs,5.8
5,2,1,fecal,8.3
5,2,2,cs,
5,2,2,fecal,8
5,3,1,cs,5.6
5,3,1,fecal,7.4
5,3,2,cs,
5,3,2,fecal,7.8
5,4,1,cs,5.5
5,4,1,fecal,7.3
5,4,2,cs,
5,4,2,fecal,5.5
5,5,1,cs,6
5,5,1,fecal,6.9
5,5,2,cs,
5,5,2,fecal,5.7
5,6,1,cs,3.5
5,6,1,fecal,5.1
5,6,2,cs,
5,6,2,fecal,3.3
5,7,1,cs,2.4
5,7,1,fecal,2.5
5,7,2,cs,
5,7,2,fecal,1
5,8,1,cs,0
5,8,1,fecal,1
5,8,2,cs,
5,8,2,fecal,1
5,9,1,cs,0
5,9,1,fecal,0
5,9,2,cs,
5,9,2,fecal,0
5,10,1,cs,0
5,10,1,fecal,2
5,10,2,cs,
5,10,2,fecal,
5,12,1,cs,0
5,12,1,fecal,0
5,12,2,cs,
5,12,2,fecal,0
5,14,1,cs,0
5,14,1,fecal,0
5,14,2,cs,
5,14,2,fecal,
6,0,1,cs,
6,0,1,fecal,
6,0,2,cs,0
6,0,2,fecal,0
6,1,1,cs,0
6,1,1,fecal,0
6,1,2,cs,
6,1,2,fecal,1
6,2,1,cs,7.6
6,2,1,fecal,8.7
6,2,2,cs,
6,2,2,fecal,7.2
6,3,1,cs,6.2
6,3,1,fecal,7.6
6,3,2,cs,
6,3,2,fecal,6.3
6,4,1,cs,6
6,4,1,fecal,7.2
6,4,2,cs,
6,4,2,fecal,6.1
6,5,1,cs,5.6
6,5,1,fecal,5
6,5,2,cs,
6,5,2,fecal,5.1
6,6,1,cs,3.8
6,6,1,fecal,3.1
6,6,2,cs,
6,6,2,fecal,3.8
6,7,1,cs,3.5
6,7,1,fecal,4.9
6,7,2,cs,
6,7,2,fecal,3.4
6,8,1,cs,4.2
6,8,1,fecal,4.3
6,8,2,cs,
6,8,2,fecal,3.9
6,9,1,cs,3.7
6,9,1,fecal,4
6,9,2,cs,
6,9,2,fecal,4
6,10,1,cs,3.4
6,10,1,fecal,4.3
6,10,2,cs,
6,10,2,fecal,
6,12,1,cs,0
6,12,1,fecal,0
6,12,2,cs,
6,12,2,fecal,1
6,14,1,cs,0
6,14,1,fecal,1
6,14,2,cs,
6,14,2,fecal,
8,0,1,cs,
8,0,1,fecal,
8,0,2,cs,0
8,0,2,fecal,0
8,1,1,cs,0
8,1,1,fecal,0
8,1,2,cs,
8,1,2,fecal,0
8,2,1,cs,1
8,2,1,fecal,0
8,2,2,cs,
8,2,2,fecal,0
8,3,1,cs,6.3
8,3,1,fecal,7.4
8,3,2,cs,
8,3,2,fecal,7.4
8,4,1,cs,6.2
8,4,1,fecal,6.8
8,4,2,cs,
8,4,2,fecal,7.1
8,5,1,cs,4.5
8,5,1,fecal,5.7
8,5,2,cs,
8,5,2,fecal,5
8,6,1,cs,5.5
8,6,1,fecal,6.3
8,6,2,cs,
8,6,2,fecal,6.4
8,7,1,cs,2.5
8,7,1,fecal,3
8,7,2,cs,
8,7,2,fecal,0
8,8,1,cs,0
8,8,1,fecal,0
8,8,2,cs,
8,8,2,fecal,0
8,9,1,cs,0
8,9,1,fecal,0
8,9,2,cs,
8,9,2,fecal,
8,10,1,cs,0
8,10,1,fecal,0
8,10,2,cs,
8,10,2,fecal,
8,12,1,cs,0
8,12,1,fecal,0
8,12,2,cs,
8,12,2,fecal,0
8,14,1,cs,0
8,14,1,fecal,0
8,14,2,cs,
8,14,2,fecal,
